0;28\273 2 NONE,28\272 3 NONE,28\271 1 title,28\277 2 NONE,28\276 3 NONE,28\279 3 NONE,28\278 2 NONE,28\85 2 NONE,28\350 2 NONE,28\379 2 NONE,28\370 2 NONE,28\498 2 NONE,28\376 3 NONE,28\377 3 NONE,28\375 16 NONE,28\24 2 NONE,28\27 1 NONE,28\26 45 NONE,28\21 1 NONE,28\29 7 NONE,28\351 2 NONE,28\386 2 NONE,28\143 2 NONE,28\142 2 NONE,28\145 10 NONE,28\144 2 NONE,28\146 1 NONE,28\149 2 NONE,28\455 2 NONE,28\288 2 NONE,28\289 1 NONE,28\286 3 NONE,28\287 3 NONE,28\285 26 NONE,28\282 1 NONE,28\283 1 NONE,28\280 2 NONE,28\281 3 NONE,28\369 2 NONE,28\368 2 NONE,28\200 39 NONE,28\201 2 NONE,28\361 45 NONE,28\360 2 NONE,28\363 2 NONE,28\362 2 NONE,28\367 1 NONE,28\36 45 NONE,28\37 1 NONE,28\34 2 NONE,28\35 2 NONE,28\32 330 NONE,28\30 2 NONE,28\39 3 NONE,28\444 1 NONE,28\445 3 NONE,28\446 2 NONE,28\178 20 NONE,28\442 2 NONE,28\174 1 NONE,28\176 10 NONE,28\448 2 NONE,28\171 1 NONE,28\172 2 NONE,28\354 2 NONE,28\427 10 NONE,28\356 2 NONE,28\357 45 NONE,28\299 1 NONE,28\330 1 NONE,28\352 2 NONE,28\353 2 NONE,28\295 3 NONE,28\114 2 NONE,28\115 3 NONE,28\113 1 NONE,28\110 3 NONE,28\111 3 NONE,28\215 45 NONE,28\197 2 NONE,28\194 1 NONE,28\195 2 NONE,28\192 3 NONE,28\210 2 NONE,28\191 2 NONE,28\431 2 NONE,28\80 10 title,28\219 2 NONE,28\218 45 NONE,28\198 2 NONE,28\84 3 NONE,28\92 2 NONE,28\93 31 NONE,28\478 3 NONE,28\453 2 NONE,28\452 1 NONE,28\451 1 NONE,28\168 3 NONE,28\2 2 NONE,28\338 2 NONE,28\0 2 NONE,28\1 26 NONE,28\163 27 NONE,28\440 2 NONE,28\161 1 NONE,28\160 3 NONE,28\167 10 NONE,28\349 2 NONE,28\165 2 NONE,28\435 1 NONE,28\341 5 NONE,28\340 27 NONE,28\109 45 NONE,28\433 2 NONE,28\432 2 NONE,28\104 2 NONE,28\107 2 NONE,28\348 330 NONE,28\439 1 NONE,28\438 2 NONE,28\103 3 NONE,28\185 2 NONE,28\221 1 NONE,28\222 5 NONE,28\223 45 NONE,28\181 2 NONE,28\180 1 NONE,28\182 3 NONE,28\229 2 NONE,28\43 2 NONE,28\18 17 title,28\19 2 NONE,28\16 32 NONE,28\187 1 NONE,28\425 2 NONE,28\186 37 NONE,28\486 2 NONE,28\487 1 NONE,28\400 1 NONE,28\401 3 NONE,28\402 2 NONE,28\404 2 NONE,28\458 2 NONE,28\406 45 NONE,28\131 2 NONE,28\227 6 NONE,28\134 2 NONE,28\424 45 NONE,28\137 45 NONE,28\336 45 NONE,28\337 1 NONE,28\335 24 NONE,28\332 2 NONE,28\333 54 NONE,28\239 2 NONE,28\331 2 NONE,28\237 1 NONE,28\236 2 NONE,28\234 3 NONE,28\233 2 NONE,28\232 3 NONE,28\231 2 NONE,28\339 15 NONE,28\359 2 NONE,28\387 2 NONE,28\410 4 NONE,28\61 2 NONE,28\60 2 NONE,28\421 4 NONE,28\393 1 NONE,28\383 3 NONE,28\68 3 NONE,28\296 2 NONE,28\418 2 NONE,28\416 3 NONE,28\466 1 NONE,28\414 3 NONE,28\290 45 NONE,28\324 1 NONE,28\248 45 NONE,28\249 1 NONE,28\321 3 NONE,28\322 2 NONE,28\243 2 NONE,28\241 2 NONE,28\246 10 NONE,28\86 3 NONE,28\47 2 NONE,28\97 2 NONE,28\72 3 NONE,28\73 10 NONE,28\71 3 NONE,28\217 2 NONE,28\6 2 NONE,28\488 2 NONE,28\489 2 title,28\44 2 NONE,28\479 3 NONE,28\211 3 NONE,28\484 1011 NONE,28\485 3 NONE,28\426 1 NONE,28\481 1 NONE,28\398 4 NONE,28\399 8 NONE,28\468 2 NONE,28\88 2 NONE,28\461 2 NONE,28\436 3 NONE,28\390 2 NONE,28\212 2 NONE,28\394 2 NONE,28\395 2 NONE,28\396 1 NONE,28\259 26 NONE,28\312 2 NONE,28\313 2 NONE,28\314 2 NONE,28\316 22 NONE,28\317 45 NONE,28\251 3 NONE,28\250 33 NONE,28\253 3 NONE,28\252 24 NONE,28\254 1 NONE,28\257 45 NONE,28\494 2 NONE,28\492 3 NONE,28\490 2 NONE,28\499 2 NONE,28\449 1 NONE,28\126 3 NONE,28\124 45 NONE,28\123 2 NONE,28\122 1 NONE,28\121 2 NONE,28\77 2 NONE,28\129 2 NONE,28\264 3 NONE,28\265 11 NONE,28\266 2 NONE,28\267 3 NONE,28\261 2 NONE,28\263 2 NONE,28\470 2 NONE,28\473 2 NONE,28\268 37 NONE,28\269 330 NONE,28\476 3 NONE,28\52 1 NONE,28\54 3 NONE,28\55 1 NONE,28\309 2 NONE,28\307 4 NONE,28\59 6 NONE,28\305 45 NONE,28\304 2 NONE,28\303 2 NONE,28\300 2 NONE,28\5 2 NONE,28\150 1 NONE,28\151 3 NONE,28\156 2 NONE,28\157 2 NONE,28\159 45 NONE
00;28\399 2 NONE,28\403 3 title,28\276 6 NONE,28\274 3 NONE,28\294 1 NONE,28\283 1 NONE,28\310 5 NONE,28\337 1 NONE,28\194 1 NONE,28\436 5 NONE,28\192 5 NONE,28\372 1 NONE,28\253 6 NONE,28\234 5 NONE,28\254 1 NONE,28\339 4 NONE,28\68 5 NONE,28\22 1 NONE,28\232 5 NONE,28\351 1 NONE,28\126 6 NONE,28\75 1 NONE,28\381 1 NONE,28\375 4 NONE,28\479 5 NONE,28\342 6 NONE,28\437 1 NONE,28\267 5 NONE,28\347 1 NONE,28\289 1 NONE,28\286 5 NONE,28\348 7 NONE,28\269 7 NONE,28\103 5 NONE,28\281 5 NONE,28\221 3 NONE,28\321 5 NONE,28\225 2 NONE,28\182 5 NONE,28\243 1 NONE,28\401 5 NONE,28\367 1 NONE,28\86 5 NONE,28\32 7 NONE,28\14 4 title,28\70 15 NONE,28\71 5 NONE,28\10 1 NONE,28\39 5 NONE,28\152 2 NONE,28\72 5 NONE,28\151 5 NONE,28\411 1 NONE,28\179 1 NONE,28\484 2 NONE,28\485 5 NONE
000;28\263 1 NONE,28\29 8 NONE,28\313 5 NONE,28\310 27 NONE,28\335 1 NONE,28\389 1 NONE,28\375 5 NONE
000000;28\32 2 NONE,28\348 2 NONE,28\145 1 NONE,28\269 2 NONE,28\121 1 NONE
000066;28\174 3 NONE
0000cd;28\375 1 NONE
0000ff;28\252 2 NONE
0001pt;28\451 1 NONE
0008172;28\14 1 NONE
001;28\348 1 NONE,28\32 1 NONE,28\269 1 NONE
0010;28\333 1 NONE
00192;28\98 2 title
002;28\427 1 NONE
0022;28\333 1 NONE
00226;28\90 2 title
00240;28\366 2 title
0027;28\333 1 NONE
0033;28\333 2 NONE
004;28\427 1 NONE
005;28\427 1 NONE
0050;28\333 1 NONE
0058;28\333 1 NONE
0064a4;28\354 1 NONE,28\356 1 NONE,28\350 1 NONE,28\352 1 NONE,28\421 1 NONE,28\131 1 NONE,28\278 1 NONE,28\394 1 NONE,28\359 1 NONE,28\47 1 NONE,28\217 1 NONE,28\195 1 NONE,28\332 1 NONE,28\210 1 NONE,28\239 1 NONE,28\191 1 NONE,28\236 1 NONE,28\370 1 NONE,28\233 1 NONE,28\468 1 NONE,28\198 1 NONE,28\24 1 NONE,28\362 1 NONE,28\129 1 NONE,28\219 1 NONE,28\418 1 NONE,28\387 1 NONE,28\386 1 NONE,28\338 1 NONE,28\142 1 NONE,28\2 1 NONE,28\231 1 NONE,28\432 1 NONE,28\123 1 NONE,28\473 1 NONE,28\165 1 NONE,28\341 1 NONE,28\261 1 NONE,28\92 1 NONE,28\263 1 NONE,28\107 1 NONE,28\438 1 NONE,28\280 1 NONE,28\395 1 NONE,28\185 1 NONE,28\494 1 NONE,28\181 1 NONE,28\322 1 NONE,28\229 1 NONE,28\304 1 NONE,28\331 1 NONE,28\35 1 NONE,28\19 1 NONE,28\490 1 NONE,28\77 1 NONE,28\488 1 NONE,28\446 1 NONE,28\313 1 NONE,28\440 1 NONE,28\157 1 NONE,28\442 1 NONE,28\402 1 NONE,28\448 1 NONE,28\172 1 NONE
0065;28\333 1 NONE
0068;28\333 1 NONE
007;28\427 1 NONE
0072;28\333 1 NONE
0074;28\333 1 NONE
0083;28\333 1 NONE
0091;28\333 1 NONE
00am;28\348 1 NONE,28\32 1 NONE,28\269 1 NONE,28\419 3 NONE
00index;28\389 1 NONE
00pm;28\207 1 NONE,28\133 1 NONE
00z;28\451 2 NONE
