0;68\135 2 NONE,68\345 4 NONE,68\344 1 NONE,68\343 13 NONE,68\132 2 NONE,68\346 2 NONE,68\225 1 NONE,68\138 2 NONE,68\221 3 NONE,68\222 3 NONE,68\348 2 NONE,68\94 3 NONE,68\377 2 NONE,68\374 13 NONE,68\7 45 NONE,68\391 1 NONE,68\375 2 NONE,68\341 1 NONE,68\422 1 NONE,68\372 1 NONE,68\416 18 NONE,68\426 5 title,68\41 1 NONE,68\424 2 NONE,68\373 2 NONE,68\180 10 NONE,68\184 2 NONE,68\187 1 NONE,68\186 3 NONE,68\189 2 NONE,68\188 1 NONE,68\23 1 NONE,68\22 4 NONE,68\27 2 NONE,68\26 2 NONE,68\123 3 NONE,68\122 1 NONE,68\239 1 NONE,68\120 3 NONE,68\336 10 NONE,68\126 2 NONE,68\125 45 NONE,68\335 26 NONE,68\231 19 NONE,68\128 45 NONE,68\237 2 NONE,68\234 3 NONE,68\349 7 NONE,68\84 2 NONE,68\431 1 NONE,68\432 16 NONE,68\434 2 title,68\437 2 NONE,68\449 2 NONE,68\38 2 NONE,68\36 1 NONE,68\402 2 NONE,68\35 3 NONE,68\321 2 NONE,68\325 45 NONE,68\324 2 NONE,68\329 2 NONE,68\485 2 NONE,68\333 2 NONE,68\487 3 NONE,68\480 1 NONE,68\481 3 NONE,68\483 2 NONE,68\157 2 NONE,68\406 1 NONE,68\155 1 NONE,68\400 21 NONE,68\153 60 NONE,68\150 2 NONE,68\151 14 NONE,68\87 2 NONE,68\86 2 NONE,68\244 1 NONE,68\245 2 NONE,68\242 2 NONE,68\409 2 NONE,68\158 26 NONE,68\241 2 NONE,68\350 2 NONE,68\98 45 NONE,68\492 2 NONE,68\316 26 NONE,68\490 10 NONE,68\145 8 NONE,68\395 8 NONE,68\146 1 NONE,68\141 2 NONE,68\140 2 NONE,68\143 2 NONE,68\393 3 NONE,68\90 2 NONE,68\254 3 NONE,68\419 2 NONE,68\251 2 NONE,68\253 2 NONE,68\97 2 NONE,68\394 1 NONE,68\12 3 NONE,68\13 6 NONE,68\16 2 NONE,68\17 2 NONE,68\19 3 NONE,68\397 1 NONE,68\423 1 NONE,68\259 2 NONE,68\79 26 NONE,68\420 2 NONE,68\258 3 NONE,68\3 1 NONE,68\309 2 NONE,68\308 2 NONE,68\6 2 NONE,68\415 2 NONE,68\303 45 NONE,68\307 3 NONE,68\304 2 NONE,68\268 3 NONE,68\171 1 NONE,68\173 3 NONE,68\174 2 NONE,68\175 1 NONE,68\176 3 NONE,68\177 45 NONE,68\488 2 NONE,68\389 6 NONE,68\425 18 NONE,68\266 2 NONE,68\267 2 NONE,68\466 2 NONE,68\467 3 NONE,68\464 2 NONE,68\465 2 NONE,68\462 330 NONE,68\64 2 NONE,68\149 3 NONE,68\469 3 NONE,68\484 37 NONE,68\67 35 NONE,68\66 3 NONE,68\61 2 NONE,68\356 2 NONE,68\63 45 NONE,68\357 27 NONE,68\69 2 NONE,68\68 2 NONE,68\60 2 NONE,68\277 2 NONE,68\276 1 NONE,68\275 8 NONE,68\272 1 NONE,68\271 1 NONE,68\270 1 NONE,68\278 2 NONE,68\21 1 NONE,68\169 2 NONE,68\379 3 NONE,68\166 2 title,68\165 330 NONE,68\164 3 NONE,68\163 2 NONE,68\162 2 NONE,68\161 3 NONE,68\160 1 NONE,68\475 2 NONE,68\474 23 NONE,68\477 2 NONE,68\476 2 NONE,68\471 2 NONE,68\405 2 NONE,68\76 45 NONE,68\74 3 NONE,68\75 3 NONE,68\72 28 NONE,68\73 27 NONE,68\456 2 NONE,68\412 26 NONE,68\401 3 NONE,68\207 3 NONE,68\204 2 NONE,68\205 45 NONE,68\209 2 NONE,68\121 2 NONE,68\331 2 NONE,68\386 45 NONE,68\368 1 NONE,68\364 27 NONE,68\112 3 NONE,68\113 1 NONE,68\110 80 NONE,68\111 2 NONE,68\361 3 NONE,68\85 2 NONE,68\337 2 NONE,68\288 1 NONE,68\443 2 NONE,68\444 45 NONE,68\445 2 NONE,68\446 37 NONE,68\447 2 NONE,68\283 2 NONE,68\280 10 NONE,68\286 2 NONE,68\82 21 NONE,68\42 1 NONE,68\385 75 NONE,68\40 2 NONE,68\47 45 NONE,68\81 2 NONE,68\91 1 NONE,68\48 2 NONE,68\338 2 NONE,68\211 4 NONE,68\210 1 NONE,68\213 3 NONE,68\212 45 NONE,68\215 2 NONE,68\216 2 NONE,68\101 3 NONE,68\103 10 NONE,68\105 3 NONE,68\355 2 NONE,68\107 12 NONE,68\106 2 NONE,68\390 45 NONE,68\459 2 NONE,68\458 45 NONE,68\291 3 NONE,68\290 2 NONE,68\295 26 NONE,68\296 2 NONE,68\192 2 NONE,68\190 2 NONE,68\58 2 NONE,68\197 26 NONE,68\80 3 NONE,68\195 42 NONE,68\50 1 NONE,68\51 45 NONE,68\52 2 NONE,68\53 2 NONE
00;68\202 3 NONE,68\391 3 NONE,68\343 1 NONE,68\207 5 NONE,68\341 3 NONE,68\94 8 NONE,68\224 3 NONE,68\307 5 NONE,68\213 5 NONE,68\406 1 NONE,68\155 3 NONE,68\400 2 NONE,68\175 1 NONE,68\351 1 NONE,68\178 1 NONE,68\389 100 NONE,68\374 1 NONE,68\80 5 NONE,68\467 5 NONE,68\428 2 NONE,68\429 3 NONE,68\462 7 NONE,68\372 3 NONE,68\74 5 NONE,68\468 2 NONE,68\469 5 NONE,68\43 4 title,68\67 10 NONE,68\75 5 NONE,68\21 3 NONE,68\91 2 NONE,68\491 7 NONE,68\123 5 NONE,68\275 6 NONE,68\271 3 NONE,68\129 3 NONE,68\258 5 NONE,68\393 5 NONE,68\101 2 NONE,68\254 5 NONE,68\165 7 NONE,68\164 5 NONE,68\105 5 NONE,68\355 2 NONE,68\161 5 NONE,68\10 5 NONE,68\474 1 NONE,68\291 5 NONE,68\432 5 NONE,68\416 2 NONE,68\407 2 NONE,68\59 1 NONE,68\55 2 NONE,68\35 5 NONE,68\36 1 NONE,68\140 2 NONE
000;68\13 9 NONE,68\431 1 NONE,68\432 2 NONE,68\201 2 NONE,68\61 1 NONE,68\107 7 NONE,68\191 2 NONE
0000;68\234 1 NONE
000000;68\165 2 NONE,68\425 1 NONE,68\462 2 NONE,68\338 1 NONE,68\296 2 NONE
00002491;68\472 1 NONE
00002525;68\472 1 NONE
00005;68\389 1 NONE
00009;68\389 1 NONE
000099;68\425 2 NONE
00018;68\314 1 NONE,68\389 1 NONE
0001pt;68\374 4 NONE,68\432 3 NONE,68\416 6 NONE
0002;68\389 1 NONE
00031;68\389 1 NONE
0004;68\389 1 NONE
00048;68\389 1 NONE
00055;68\389 1 NONE
000704;68\389 1 NONE
0008038;68\43 1 NONE
00082;68\389 1 NONE
00088;68\385 1 NONE
00091;68\389 1 NONE
001;68\165 1 NONE,68\389 3 NONE,68\462 1 NONE,68\288 1 NONE
0012;68\389 1 NONE
00133;68\389 1 NONE
0016002;68\389 1 NONE
00160116;68\389 1 NONE
001813;68\45 1 NONE
00197;68\385 1 NONE
002;68\389 3 NONE
0020;68\389 1 NONE
00213;68\389 1 NONE
00224;68\389 1 NONE
0023003;68\389 1 NONE
00230305;68\389 1 NONE
00238;68\385 1 NONE
00266;68\385 1 NONE
003;68\389 4 NONE
00316;68\92 2 title
00327;68\385 1 NONE
00371;68\389 1 NONE
00387;68\385 1 NONE
00396;68\385 1 NONE
004;68\389 1 NONE
00407;68\385 1 NONE
00410;68\385 1 NONE
00435;68\385 1 NONE
00453;68\389 8 NONE
00454;68\389 8 NONE
00489;68\385 1 NONE
00497;68\385 1 NONE
00527;68\385 1 NONE
00530;68\385 1 NONE
00535;68\385 1 NONE
00558;68\385 1 NONE
00567;68\385 1 NONE
00571;68\385 1 NONE
00573;68\385 1 NONE
005854;68\45 1 NONE
00595;68\385 1 NONE
006;68\389 1 NONE
00611;68\385 1 NONE
00620;68\385 1 NONE
00638;68\385 1 NONE
0064a4;68\321 1 NONE,68\309 1 NONE,68\308 1 NONE,68\143 1 NONE,68\485 1 NONE,68\87 1 NONE,68\138 1 NONE,68\337 1 NONE,68\304 1 NONE,68\253 1 NONE,68\157 1 NONE,68\174 1 NONE,68\415 1 NONE,68\85 1 NONE,68\111 1 NONE,68\242 1 NONE,68\266 1 NONE,68\241 1 NONE,68\466 1 NONE,68\464 1 NONE,68\245 1 NONE,68\283 1 NONE,68\38 1 NONE,68\424 1 NONE,68\373 1 NONE,68\64 1 NONE,68\356 1 NONE,68\61 1 NONE,68\184 1 NONE,68\189 1 NONE,68\267 1 NONE,68\483 1 NONE,68\26 1 NONE,68\333 1 NONE,68\331 1 NONE,68\215 1 NONE,68\126 1 NONE,68\216 1 NONE,68\492 1 NONE,68\69 1 NONE,68\465 1 NONE,68\140 1 NONE,68\169 1 NONE,68\101 1 NONE,68\348 1 NONE,68\251 1 NONE,68\162 1 NONE,68\107 1 NONE,68\477 1 NONE,68\13 1 NONE,68\16 1 NONE,68\17 1 NONE,68\456 1 NONE,68\437 1 NONE,68\192 1 NONE,68\40 1 NONE,68\190 1 NONE,68\58 1 NONE,68\52 1 NONE
00657;68\385 1 NONE
00671;68\385 1 NONE
00696;68\385 1 NONE
00699;68\385 1 NONE
007;68\389 2 NONE
00702;68\385 1 NONE
00703;68\385 1 NONE
00708;68\385 1 NONE
00709;68\385 1 NONE
00713;68\385 1 NONE
00723;68\385 1 NONE
00736;68\385 1 NONE
00739;68\385 1 NONE
00749;68\385 1 NONE
00750;68\385 1 NONE
00751;68\385 1 NONE
00753;68\385 1 NONE
00755;68\385 1 NONE
00767;68\385 1 NONE
00775;68\122 1 NONE
00779;68\385 1 NONE
00787;68\385 1 NONE
00796;68\385 1 NONE
008;68\389 3 NONE
00801;68\385 1 NONE
