0;19\28 2 NONE,19\263 2 NONE,19\23 38 NONE,19\442 2 NONE,19\24 1 NONE,19\321 2 NONE,19\320 2 NONE,19\325 45 NONE,19\324 38 NONE,19\327 2 NONE,19\84 2 title,19\329 2 NONE,19\328 10 NONE,19\487 10 NONE,19\170 3 NONE,19\171 27 NONE,19\406 3 NONE,19\173 2 NONE,19\176 1 NONE,19\178 5 NONE,19\244 3 NONE,19\245 3 NONE,19\408 1 NONE,19\243 2 NONE,19\241 2 NONE,19\30 3 NONE,19\34 1 NONE,19\35 37 NONE,19\498 2 NONE,19\318 2 NONE,19\405 1 NONE,19\492 45 NONE,19\491 45 NONE,19\317 3 NONE,19\497 2 NONE,19\495 3 NONE,19\313 2 NONE,19\134 2 NONE,19\411 2 NONE,19\397 2 NONE,19\259 2 NONE,19\258 1 NONE,19\169 2 NONE,19\3 26 NONE,19\255 3 NONE,19\165 2 NONE,19\256 2 NONE,19\163 1 NONE,19\250 1 NONE,19\253 3 NONE,19\160 2 NONE,19\137 1 NONE,19\9 3 NONE,19\6 1 NONE,19\257 79 NONE,19\193 5 NONE,19\418 1 NONE,19\196 3 NONE,19\132 3 NONE,19\194 10 NONE,19\251 1 title,19\198 3 NONE,19\199 1 NONE,19\162 2 NONE,19\309 2 NONE,19\389 19 NONE,19\303 2 NONE,19\252 3 NONE,19\268 2 NONE,19\269 10 NONE,19\118 34 NONE,19\119 45 NONE,19\384 2 NONE,19\260 3 NONE,19\113 26 NONE,19\110 3 NONE,19\111 1 NONE,19\265 2 NONE,19\114 10 NONE,19\267 3 NONE,19\388 2 NONE,19\469 1 NONE,19\183 3 NONE,19\182 27 NONE,19\184 1 NONE,19\187 2 NONE,19\186 1 NONE,19\188 1 NONE,19\51 2 NONE,19\277 28 NONE,19\275 19 NONE,19\274 14 NONE,19\270 38 NONE,19\278 63 NONE,19\108 2 NONE,19\454 2 NONE,19\378 1 NONE,19\379 4 NONE,19\101 2 NONE,19\453 1 NONE,19\103 1 NONE,19\102 2 NONE,19\372 1 NONE,19\373 10 NONE,19\370 1 NONE,19\452 3 NONE,19\475 2 NONE,19\246 2 NONE,19\477 2 NONE,19\419 2 NONE,19\473 1 NONE,19\479 2 NONE,19\478 2 NONE,19\65 10 NONE,19\67 45 NONE,19\93 2 NONE,19\61 2 NONE,19\451 7 NONE,19\62 2 NONE,19\69 3 NONE,19\68 2 NONE,19\409 1 NONE,19\202 3 NONE,19\203 1 NONE,19\200 1 NONE,19\201 2 NONE,19\130 1 NONE,19\207 3 NONE,19\204 3 NONE,19\208 1 NONE,19\209 2 NONE,19\339 2 NONE,19\369 2 NONE,19\365 1 NONE,19\91 3 NONE,19\367 27 NONE,19\366 2 NONE,19\361 147 NONE,19\360 1 NONE,19\362 2 NONE,19\441 27 NONE,19\12 2 NONE,19\443 7 NONE,19\444 4 NONE,19\15 2 NONE,19\446 2 NONE,19\447 3 NONE,19\448 27 NONE,19\449 2 NONE,19\281 2 NONE,19\445 37 NONE,19\74 1 NONE,19\75 7 NONE,19\73 2 NONE,19\70 2 NONE,19\71 3 NONE,19\211 1 NONE,19\122 2 NONE,19\120 10 NONE,19\215 3 NONE,19\124 6 title,19\219 80 NONE,19\218 1 NONE,19\128 13 NONE,19\2 1 NONE,19\399 2 NONE,19\359 3 NONE,19\351 10 NONE,19\88 3 NONE,19\354 2 NONE,19\356 2 NONE,19\376 2 NONE,19\291 26 NONE,19\343 1 NONE,19\292 3 NONE,19\295 1 NONE,19\374 3 NONE,19\297 3 NONE,19\450 37 NONE,19\41 2 NONE,19\40 3 NONE,19\47 45 NONE,19\44 2 NONE,19\49 3 NONE,19\456 22 NONE,19\82 3 NONE,19\347 2 NONE,19\228 45 NONE,19\341 3 NONE,19\340 2 NONE,19\80 2 NONE,19\221 1 NONE,19\222 1 NONE,19\348 13 NONE,19\156 42 NONE,19\157 2 NONE,19\153 2 NONE,19\150 2 NONE,19\474 1 NONE,19\428 2 NONE,19\1 45 NONE,19\420 2 NONE,19\421 26 NONE,19\426 2 NONE,19\87 2 NONE,19\424 1 NONE,19\490 2 NONE,19\59 26 NONE,19\382 2 NONE,19\55 4 NONE,19\56 1 NONE,19\57 1 NONE,19\50 3 NONE,19\381 8 NONE,19\332 2 NONE,19\380 2 NONE,19\233 10 NONE,19\232 6 NONE,19\338 3 NONE,19\230 2 NONE,19\236 2 NONE,19\210 45 NONE,19\234 4 NONE,19\145 3 NONE,19\147 26 NONE,19\141 3 NONE,19\140 2 NONE,19\142 2 NONE,19\439 2 NONE,19\212 2 NONE,19\485 2 NONE,19\261 3 NONE,19\431 3 NONE,19\430 2 NONE,19\432 2 NONE,19\435 1 NONE,19\262 1 NONE,19\437 2 NONE
00;19\43 1 NONE,19\132 5 NONE,19\111 1 NONE,19\196 5 NONE,19\197 1 NONE,19\63 2 NONE,19\49 5 NONE,19\92 1 NONE,19\40 5 NONE,19\202 5 NONE,19\203 1 NONE,19\0 1 NONE,19\137 1 NONE,19\207 5 NONE,19\204 5 NONE,19\208 1 NONE,19\170 5 NONE,19\406 5 NONE,19\339 4 NONE,19\407 4 NONE,19\261 5 NONE,19\244 5 NONE,19\245 5 NONE,19\361 1 NONE,19\267 2 NONE,19\467 17 NONE,19\443 2 NONE,19\91 2 NONE,19\71 5 NONE,19\69 5 NONE,19\274 3 NONE,19\215 5 NONE,19\214 1 NONE,19\217 6 NONE,19\216 5 NONE,19\128 1 NONE,19\2 1 NONE,19\166 1 NONE,19\82 5 NONE,19\253 5 NONE,19\252 6 NONE,19\458 2 NONE,19\431 2 NONE,19\295 1 NONE,19\262 3 NONE
000;19\193 5 NONE,19\381 2 NONE,19\21 1 NONE,19\361 32 NONE,19\23 1 NONE,19\354 1 NONE,19\347 5 NONE,19\441 1 NONE,19\275 1 NONE,19\324 1 NONE,19\270 1 NONE,19\303 2 NONE,19\234 1 NONE
000000;19\404 1 NONE,19\430 1 NONE,19\389 15 NONE,19\362 5 NONE,19\234 2 NONE
000000000000000777l;19\461 1 NONE
000000000760000000l;19\461 1 NONE
000000001225776777l;19\461 1 NONE
00000010;19\361 1 NONE
00000020;19\361 1 NONE
0000006;19\361 1 NONE
000002;19\361 1 NONE
000005;19\361 1 NONE
00000888;19\361 1 NONE
00001106;19\361 1 NONE
00001290;19\361 1 NONE
00001676;19\361 1 NONE
00001844;19\361 1 NONE
000020010004002001l;19\461 1 NONE
00002212;19\361 1 NONE
00002397;19\361 1 NONE
00002447;19\361 1 NONE
00002883;19\361 1 NONE
00002933;19\361 2 NONE
00003218;19\361 1 NONE
00003302;19\361 1 NONE
00003386;19\361 1 NONE
00003872;19\361 1 NONE
00004191;19\361 1 NONE
00004794;19\361 1 NONE
00005817;19\361 1 NONE
00005917;19\361 1 NONE
00006118;19\361 1 NONE
00006403;19\361 1 NONE
000066;19\474 3 NONE
00007040;19\361 1 NONE
00007141;19\361 1 NONE
00007527;19\361 1 NONE
00007761;19\361 1 NONE
00007845;19\361 1 NONE
00007979;19\361 1 NONE
000088;19\44 1 NONE
00009857;19\361 1 NONE
0000ee;19\389 6 NONE
00010108;19\361 1 NONE
00011047;19\361 1 NONE
00011114;19\361 1 NONE
00012220;19\361 1 NONE
00013813;19\361 1 NONE
00015858;19\361 1 NONE
00017836;19\361 1 NONE
00018691;19\361 1 NONE
00019345;19\361 1 NONE
0001pt;19\232 2 NONE,19\128 2 NONE,19\114 6 NONE,19\456 2 NONE
00020602;19\361 1 NONE
00021256;19\361 1 NONE
00025916;19\361 1 NONE
00027878;19\361 1 NONE
00028716;19\361 1 NONE
00033678;19\361 1 NONE
00038674;19\361 1 NONE
00039814;19\361 1 NONE
00049604;19\361 1 NONE
000562;19\231 1 NONE
00060651;19\361 1 NONE
00079376;19\361 1 NONE
00084858;19\361 1 NONE
00089401;19\361 1 NONE
0009024;19\54 1 NONE
00094799;19\361 1 NONE
000_introduction;19\473 3 title
001;19\361 5 NONE
0010;19\455 1 NONE
00113071;19\361 1 NONE
00137865;19\361 1 NONE
001857;19\341 1 NONE
002;19\361 2 NONE
0021;19\455 1 NONE
00211441;19\361 1 NONE
00213;19\316 1 NONE
0024;19\455 2 NONE
00265840;19\361 1 NONE
00293483;19\361 1 NONE
002c2c;19\114 4 NONE
003;19\361 1 NONE
0031;19\455 1 NONE
0036;19\114 1 NONE
00362;19\240 2 title
004;19\361 2 NONE
00446101;19\361 1 NONE
005;19\466 1 NONE,19\361 1 NONE
00502947;19\361 1 NONE
005668;19\231 1 NONE
0058;19\455 1 NONE
006;19\466 1 NONE
